cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
0,False,72,2691737.55,0.1794,0.9722,110388.11
1,False,72,2744020.62,0.1832,0.9722,111129.74
2,False,72,2744020.62,0.1832,0.9722,111129.74
3,False,72,2686554.08,0.1791,0.9861,110310.84
4,False,72,2686554.08,0.1791,0.9861,110310.84
5,False,72,2686554.08,0.1791,0.9861,110310.84
6,False,72,2657453.91,0.1769,0.9722,109919.5
7,False,72,2744020.62,0.1832,0.9722,111129.74
8,False,72,2744020.62,0.1832,0.9722,111129.74
9,False,72,2686554.08,0.1791,0.9861,110310.84
10,False,72,2686554.08,0.1791,0.9861,110310.84
11,False,72,2686554.08,0.1791,0.9861,110310.84
12,False,72,2691737.55,0.1794,0.9722,110388.11
13,False,72,2686554.08,0.1791,0.9861,110310.84
14,False,72,2686554.08,0.1791,0.9861,110310.84
15,False,72,2686554.08,0.1791,0.9861,110310.84
16,False,72,2715920.16,0.1812,0.9722,110854.66
17,False,72,2686554.08,0.1791,0.9861,110310.84
18,False,72,2691737.55,0.1794,0.9722,110388.11
19,False,72,2686554.08,0.1791,0.9861,110310.84
20,False,72,2744020.62,0.1832,0.9722,111129.74
21,False,72,2657453.91,0.1769,0.9722,109919.5
22,False,72,2686554.08,0.1791,0.9861,110310.84
23,False,72,2688925.81,0.1792,0.9583,110351.01
24,False,72,2688925.81,0.1792,0.9583,110351.01
25,False,72,2686554.08,0.1791,0.9861,110310.84
26,False,72,2686554.08,0.1791,0.9861,110310.84
27,False,72,2672377.41,0.178,0.9444,110035.12
28,False,72,2744020.62,0.1832,0.9722,111129.74
29,False,72,2686554.08,0.1791,0.9861,110310.84
30,False,72,2691737.55,0.1794,0.9722,110388.11
31,False,72,2686554.08,0.1791,0.9861,110310.84
32,False,72,2744020.62,0.1832,0.9722,111129.74
33,False,72,2686554.08,0.1791,0.9861,110310.84
34,False,72,2686554.08,0.1791,0.9861,110310.84
35,False,72,2744020.62,0.1832,0.9722,111129.74
36,False,72,2686554.08,0.1791,0.9861,110310.84
37,False,72,2655023.07,0.1767,0.9861,109884.72
38,False,72,2744020.62,0.1832,0.9722,111129.74
39,False,72,2686554.08,0.1791,0.9861,110310.84
40,False,72,2744020.62,0.1832,0.9722,111129.74
41,False,72,2774014.86,0.1854,0.9583,111682.51
42,False,72,2686554.08,0.1791,0.9861,110310.84
43,False,72,2686554.08,0.1791,0.9861,110310.84
44,False,72,2691737.55,0.1794,0.9722,110388.11
45,False,72,2686554.08,0.1791,0.9861,110310.84
46,False,72,2744020.62,0.1832,0.9722,111129.74
47,False,72,2686554.08,0.1791,0.9861,110310.84
48,False,72,2686554.08,0.1791,0.9861,110310.84
49,False,72,2686554.08,0.1791,0.9861,110310.84
50,False,72,2686554.08,0.1791,0.9861,110310.84
51,False,72,2649910.3,0.1764,1.0,109808.41
52,False,72,2655023.07,0.1767,0.9861,109884.72
53,False,72,2702805.58,0.1802,0.9722,110562.69
54,False,72,2742639.13,0.1831,0.9583,111105.94
55,False,72,2686554.08,0.1791,0.9861,110310.84
56,False,72,2686554.08,0.1791,0.9861,110310.84
57,False,72,2786887.22,0.1863,0.9722,113779.97
58,False,72,2690382.38,0.1793,0.9583,110364.68
59,False,72,2744020.62,0.1832,0.9722,111129.74
60,False,72,2691737.55,0.1794,0.9722,110388.11
61,False,72,2686554.08,0.1791,0.9861,110310.84
62,False,72,2686554.08,0.1791,0.9861,110310.84
63,False,72,2686554.08,0.1791,0.9861,110310.84
64,False,72,2744020.62,0.1832,0.9722,111129.74
65,False,72,2690382.38,0.1793,0.9583,110364.68
66,False,72,2686554.08,0.1791,0.9861,110310.84
67,False,72,2686554.08,0.1791,0.9861,110310.84
68,False,72,2690382.38,0.1793,0.9583,110364.68
69,False,72,2691737.55,0.1794,0.9722,110388.11
70,False,72,2786887.22,0.1863,0.9722,113779.97
71,False,72,2701724.56,0.1802,0.9861,110549.82
72,False,72,2744020.62,0.1832,0.9722,111129.74
73,False,72,2686554.08,0.1791,0.9861,110310.84
74,False,72,2655475.32,0.1768,0.9722,109901.05
