cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
0,True,15,953754.9,-0.0372,1.0,13762.57
1,True,15,953754.9,-0.0372,1.0,13762.57
2,True,15,953754.9,-0.0372,1.0,13762.57
3,True,15,953754.9,-0.0372,1.0,13762.57
4,True,15,953754.9,-0.0372,1.0,13762.57
5,True,15,953754.9,-0.0372,1.0,13762.57
6,True,15,953754.9,-0.0372,1.0,13762.57
7,True,15,953754.9,-0.0372,1.0,13762.57
8,True,15,953754.9,-0.0372,1.0,13762.57
9,True,15,953754.9,-0.0372,1.0,13762.57
10,True,15,953754.9,-0.0372,1.0,13762.57
11,True,15,953754.9,-0.0372,1.0,13762.57
12,True,15,953754.9,-0.0372,1.0,13762.57
13,True,15,953754.9,-0.0372,1.0,13762.57
14,True,15,953754.9,-0.0372,1.0,13762.57
15,True,15,953754.9,-0.0372,1.0,13762.57
16,True,15,953754.9,-0.0372,1.0,13762.57
17,True,15,953754.9,-0.0372,1.0,13762.57
18,True,15,953754.9,-0.0372,1.0,13762.57
19,True,15,953754.9,-0.0372,1.0,13762.57
20,True,15,953754.9,-0.0372,1.0,13762.57
21,True,15,953754.9,-0.0372,1.0,13762.57
22,True,15,953754.9,-0.0372,1.0,13762.57
23,True,15,953754.9,-0.0372,1.0,13762.57
24,True,15,953754.9,-0.0372,1.0,13762.57
25,True,15,953754.9,-0.0372,1.0,13762.57
26,True,15,953754.9,-0.0372,1.0,13762.57
27,True,15,953754.9,-0.0372,1.0,13762.57
28,True,15,953754.9,-0.0372,1.0,13762.57
29,True,15,953754.9,-0.0372,1.0,13762.57
30,True,15,953754.9,-0.0372,1.0,13762.57
31,True,15,953754.9,-0.0372,1.0,13762.57
32,True,15,953754.9,-0.0372,1.0,13762.57
33,True,15,953754.9,-0.0372,1.0,13762.57
34,True,15,953754.9,-0.0372,1.0,13762.57
35,True,15,953754.9,-0.0372,1.0,13762.57
36,True,15,953754.9,-0.0372,1.0,13762.57
37,True,15,953754.9,-0.0372,1.0,13762.57
38,True,15,953754.9,-0.0372,1.0,13762.57
