config_id,conf_base,lookback,skip,train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2019,conservador,0.8712941430094006,0.13518700504644401,0.1003,0.1578,0.6358,0.0574,5,True,4784.9,0.8,0.0005
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2019,neutro,0.11068403632567052,0.0,0.2004,0.0588,3.41,0.0123,12,False,11523.82,0.0833,0.0075
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2019,arriesgado,0.10286024833212465,0.0,0.2681,0.1323,2.0264,0.0527,12,False,12445.37,0.0833,0.0065
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2019,muy_arriesgado,0.003111628752387675,0.0,0.3159,0.1754,1.8012,0.0858,12,False,12904.11,0.0,0.0057
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2020,conservador,0.9301260480176291,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2020,neutro,0.056930658940548655,0.3333080269441146,-0.6346,0.2719,-2.3343,0.2449,3,True,2337.42,0.0,0.0053
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2020,arriesgado,0.0016737806305542823,0.0,0.3201,0.2685,1.1921,0.2091,12,False,11261.36,0.0,0.0035
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2020,muy_arriesgado,2.847624007199022e-06,0.0,0.3568,0.2721,1.3112,0.2054,12,False,11413.07,0.0,0.0026
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2021,conservador,0.02495006499757374,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,0.0,0.0016
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2021,neutro,0.5949251027264156,0.0,0.4041,0.1285,3.1456,0.0642,12,False,12988.78,0.75,0.0005
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2021,arriesgado,0.19626588224726293,0.0,0.289,0.4045,0.7143,0.2647,12,False,11645.91,0.0,0.0074
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2021,muy_arriesgado,0.3150815400432973,0.0,0.4091,0.365,1.1209,0.2397,12,False,12057.67,0.4167,0.0006
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
conf=2|lb=504|skip=63,2.0,504,63,5,0.025,2022,conservador,0.9999976540942812,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
