config_id,conf_base,lookback,skip,observaciones,mae,rmse,bias,hit_rate_signo,corr_pred_real,signal_score
conf=2|lb=126|skip=21,2.0,126,21,21240,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925
conf=2|lb=504|skip=63,2.0,504,63,21240,0.074966,0.138338,-0.0091,0.5395,-0.0619,0.076033
conf=1|lb=504|skip=63,1.0,504,63,21240,0.075102,0.138797,-0.00945,0.5372,-0.0626,0.07623600000000001
conf=2|lb=504|skip=21,2.0,504,21,21240,0.075093,0.138371,-0.008951,0.5382,-0.0656,0.07629699999999999
conf=0.5|lb=504|skip=63,0.5,504,63,21240,0.075246,0.139274,-0.009768,0.5356,-0.0625,0.07640899999999999
conf=1|lb=504|skip=21,1.0,504,21,21240,0.075232,0.138825,-0.009298,0.5351,-0.0653,0.076489
conf=0.25|lb=504|skip=63,0.25,504,63,21240,0.075387,0.139689,-0.010011,0.5336,-0.062,0.07657499999999999
conf=0.5|lb=504|skip=21,0.5,504,21,21240,0.075376,0.139297,-0.009613,0.5327,-0.0646,0.07665999999999999
conf=1|lb=126|skip=21,1.0,126,21,21240,0.077018,0.140229,-0.008297,0.5188,-0.0013,0.076681
conf=0.1|lb=504|skip=63,0.1,504,63,21240,0.075534,0.140073,-0.01021,0.531,-0.0613,0.076753
conf=0.25|lb=504|skip=21,0.25,504,21,21240,0.075514,0.139709,-0.009852,0.5312,-0.0637,0.076801
conf=0.05|lb=504|skip=63,0.05,504,63,21240,0.075605,0.140244,-0.01029,0.5309,-0.0609,0.076814
conf=2|lb=252|skip=63,2.0,252,63,21240,0.075932,0.139186,-0.009027,0.5207,-0.0433,0.076817
conf=2|lb=504|skip=0,2.0,504,0,21240,0.075249,0.138538,-0.00886,0.5397,-0.0794,0.07683699999999999
conf=2|lb=126|skip=63,2.0,126,63,21240,0.076921,0.140209,-0.008133,0.5396,-0.0244,0.076861
conf=0.1|lb=504|skip=21,0.1,504,21,21240,0.075657,0.140092,-0.010046,0.5302,-0.0629,0.07694000000000001
conf=1|lb=504|skip=0,1.0,504,0,21240,0.075385,0.138993,-0.009204,0.5356,-0.077,0.076983
conf=0.05|lb=504|skip=21,0.05,504,21,21240,0.075728,0.140263,-0.010124,0.529,-0.0625,0.07702300000000001
conf=0.5|lb=504|skip=0,0.5,504,0,21240,0.075536,0.139467,-0.009516,0.5348,-0.0748,0.077084
conf=2|lb=252|skip=21,2.0,252,21,21240,0.076026,0.139265,-0.008607,0.5217,-0.0504,0.07710399999999999
conf=1|lb=252|skip=63,1.0,252,63,21240,0.076207,0.139798,-0.00935,0.5192,-0.0431,0.077116
conf=0.25|lb=504|skip=0,0.25,504,0,21240,0.075678,0.139882,-0.009753,0.5331,-0.0731,0.077209
conf=0.1|lb=504|skip=0,0.1,504,0,21240,0.075823,0.140267,-0.009944,0.5321,-0.0716,0.077329
conf=1|lb=126|skip=63,1.0,126,63,21240,0.077447,0.141081,-0.008401,0.5399,-0.0237,0.07736
conf=1|lb=252|skip=21,1.0,252,21,21240,0.076293,0.139879,-0.008917,0.5202,-0.0496,0.077377
conf=0.05|lb=504|skip=0,0.05,504,0,21240,0.075894,0.140441,-0.010021,0.5308,-0.071,0.07740799999999999
conf=0.5|lb=126|skip=21,0.5,126,21,21240,0.077624,0.141256,-0.0085,0.5168,-0.0052,0.077444
