modelo,config_id,perfil,retorno_promedio,drawdown_promedio,tasa_aceptacion,tasa_abandono,prob_aceptacion_promedio,prob_abandono_promedio,peor_retorno,mae_senal,rmse_senal,bias_senal,hit_senal,corr_senal,signal_score,score_sin_error_portafolio
BL actual,conf=0.05|lb=252|skip=21,arriesgado,0.1591857142857143,0.09457142857142857,0.7857142857142857,0.0,0.7855847932356467,0.0,-0.031,0.077325,0.141914,-0.009603,0.5161,-0.0458,0.078377,0.1119
BL actual,conf=0.05|lb=252|skip=21,conservador,-0.009071428571428567,0.06432857142857143,0.7428571428571429,0.7142857142857143,0.7029711031276891,0.2512992023629218,-0.3353,0.077325,0.141914,-0.009603,0.5161,-0.0458,0.078377,-0.25552142857142857
BL actual,conf=0.05|lb=252|skip=21,muy_arriesgado,0.1801142857142857,0.10291428571428571,0.8095142857142857,0.0,0.8262433520777269,0.0,-0.002,0.077325,0.141914,-0.009603,0.5161,-0.0458,0.078377,0.12865714285714286
BL actual,conf=0.05|lb=252|skip=21,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091,0.077325,0.141914,-0.009603,0.5161,-0.0458,0.078377,-0.0091
BL actual,conf=0.05|lb=252|skip=21,neutro,0.03454285714285714,0.09511428571428572,0.5595285714285715,0.2857142857142857,0.5656741280517018,0.07158505078841218,-0.6459,0.077325,0.141914,-0.009603,0.5161,-0.0458,0.078377,-0.09872857142857142
BL candidato,conf=2|lb=126|skip=21,arriesgado,0.18495714285714285,0.08948571428571428,0.5476142857142857,0.0,0.5549201025950266,0.0,-0.0105,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925,0.1402142857142857
BL candidato,conf=2|lb=126|skip=21,conservador,-0.00837142857142857,0.06412857142857144,0.6857142857142857,0.7142857142857143,0.693617147924459,0.2499184534222598,-0.3353,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925,-0.25472142857142854
BL candidato,conf=2|lb=126|skip=21,muy_arriesgado,0.2311142857142857,0.11477142857142857,0.5237999999999999,0.0,0.5382168691187512,0.0,-0.0414,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925,0.1737285714285714
BL candidato,conf=2|lb=126|skip=21,muy_conservador,-0.0091,0.0,0.3333,0.0,0.5,0.0,-0.0091,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925,-0.0091
BL candidato,conf=2|lb=126|skip=21,neutro,0.04065714285714286,0.09382857142857141,0.5714428571428571,0.2857142857142857,0.5952837451077339,0.06271239459753254,-0.6385,0.076497,0.139304,-0.008047,0.5226,0.004,0.075925,-0.09197142857142855
