cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
0,True,15,979885.66,-0.0161,1.0,12864.48
1,True,15,979885.66,-0.0161,1.0,12864.48
2,True,15,979885.66,-0.0161,1.0,12864.48
3,True,15,979885.66,-0.0161,1.0,12864.48
4,True,15,979885.66,-0.0161,1.0,12864.48
5,True,15,979885.66,-0.0161,1.0,12864.48
6,True,15,979885.66,-0.0161,1.0,12864.48
7,True,15,979885.66,-0.0161,1.0,12864.48
8,True,15,981269.1,-0.015,0.9333,12879.04
9,True,15,979885.66,-0.0161,1.0,12864.48
10,True,15,979885.66,-0.0161,1.0,12864.48
11,True,15,975730.86,-0.0195,0.9333,12817.13
12,True,15,975730.86,-0.0195,0.9333,12817.13
13,True,15,979885.66,-0.0161,1.0,12864.48
14,True,15,979885.66,-0.0161,1.0,12864.48
15,True,15,979885.66,-0.0161,1.0,12864.48
16,True,15,979885.66,-0.0161,1.0,12864.48
17,True,15,979885.66,-0.0161,1.0,12864.48
18,True,15,975730.86,-0.0195,0.9333,12817.13
19,True,15,975730.86,-0.0195,0.9333,12817.13
20,True,15,979885.66,-0.0161,1.0,12864.48
21,True,15,975730.86,-0.0195,0.9333,12817.13
22,True,15,979885.66,-0.0161,1.0,12864.48
23,True,15,979885.66,-0.0161,1.0,12864.48
24,True,15,975730.86,-0.0195,0.9333,12817.13
25,True,15,979885.66,-0.0161,1.0,12864.48
26,True,15,979885.66,-0.0161,1.0,12864.48
27,True,15,979885.66,-0.0161,1.0,12864.48
28,True,15,979885.66,-0.0161,1.0,12864.48
29,True,15,979885.66,-0.0161,1.0,12864.48
30,True,15,979885.66,-0.0161,1.0,12864.48
31,True,15,975730.86,-0.0195,0.9333,12817.13
32,True,15,975730.86,-0.0195,0.9333,12817.13
33,True,15,979885.66,-0.0161,1.0,12864.48
34,True,15,979885.66,-0.0161,1.0,12864.48
35,True,15,980147.27,-0.0159,0.9333,12867.69
36,True,15,980147.27,-0.0159,0.9333,12867.69
37,True,16,998043.62,-0.0015,1.0,13696.88
38,True,15,979885.66,-0.0161,1.0,12864.48
39,True,15,979885.66,-0.0161,1.0,12864.48
40,True,15,983015.33,-0.0136,0.9333,12872.62
41,True,15,978481.55,-0.0173,0.8667,12846.07
42,True,15,979885.66,-0.0161,1.0,12864.48
43,True,15,979885.66,-0.0161,1.0,12864.48
44,True,15,979885.66,-0.0161,1.0,12864.48
45,True,15,979885.66,-0.0161,1.0,12864.48
46,True,15,979885.66,-0.0161,1.0,12864.48
47,True,15,980147.27,-0.0159,0.9333,12867.69
48,True,15,979885.66,-0.0161,1.0,12864.48
49,True,15,979885.66,-0.0161,1.0,12864.48
50,True,15,979139.43,-0.0167,0.9333,12857.28
51,True,15,979885.66,-0.0161,1.0,12864.48
52,True,15,979885.66,-0.0161,1.0,12864.48
53,True,15,979885.66,-0.0161,1.0,12864.48
54,True,15,981269.1,-0.015,0.9333,12879.04
55,True,15,974513.37,-0.0204,0.8667,12812.88
56,True,15,979885.66,-0.0161,1.0,12864.48
57,True,15,979885.66,-0.0161,1.0,12864.48
58,True,15,979885.66,-0.0161,1.0,12864.48
59,True,42,976619.22,-0.0067,0.9762,36766.54
60,True,15,975730.86,-0.0195,0.9333,12817.13
61,True,15,979885.66,-0.0161,1.0,12864.48
