cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
0,False,72,3318509.49,0.2213,0.9861,128579.07
1,False,72,3318509.49,0.2213,0.9861,128579.07
2,False,72,3256958.1,0.2175,1.0,127744.36
3,False,72,3318509.49,0.2213,0.9861,128579.07
4,False,72,3318509.49,0.2213,0.9861,128579.07
5,False,72,3318509.49,0.2213,0.9861,128579.07
6,False,72,3318509.49,0.2213,0.9861,128579.07
7,False,72,3318509.49,0.2213,0.9861,128579.07
8,False,72,3318509.49,0.2213,0.9861,128579.07
9,False,72,3403521.77,0.2265,0.9722,129780.58
10,False,72,3318509.49,0.2213,0.9861,128579.07
11,False,72,3318509.49,0.2213,0.9861,128579.07
12,False,72,3318509.49,0.2213,0.9861,128579.07
13,False,72,3318509.49,0.2213,0.9861,128579.07
14,False,72,3403521.77,0.2265,0.9722,129780.58
15,False,72,3318509.49,0.2213,0.9861,128579.07
16,False,72,3318509.49,0.2213,0.9861,128579.07
17,False,72,3318509.49,0.2213,0.9861,128579.07
18,False,72,3318509.49,0.2213,0.9861,128579.07
19,False,72,3318509.49,0.2213,0.9861,128579.07
20,False,72,3318509.49,0.2213,0.9861,128579.07
21,False,72,3318509.49,0.2213,0.9861,128579.07
22,False,72,3318509.49,0.2213,0.9861,128579.07
23,False,72,3318509.49,0.2213,0.9861,128579.07
24,False,72,3318509.49,0.2213,0.9861,128579.07
25,False,72,3318509.49,0.2213,0.9861,128579.07
26,False,72,3318509.49,0.2213,0.9861,128579.07
27,False,72,3318509.49,0.2213,0.9861,128579.07
28,False,72,3318509.49,0.2213,0.9861,128579.07
29,False,72,3318509.49,0.2213,0.9861,128579.07
30,False,72,3318509.49,0.2213,0.9861,128579.07
31,False,72,3403521.77,0.2265,0.9722,129780.58
32,False,72,3403521.77,0.2265,0.9722,129780.58
33,False,72,3318509.49,0.2213,0.9861,128579.07
34,False,72,3318509.49,0.2213,0.9861,128579.07
35,False,72,3318509.49,0.2213,0.9861,128579.07
36,False,72,3318509.49,0.2213,0.9861,128579.07
37,False,72,3318509.49,0.2213,0.9861,128579.07
38,False,72,3318509.49,0.2213,0.9861,128579.07
39,False,72,3318509.49,0.2213,0.9861,128579.07
40,False,72,3318509.49,0.2213,0.9861,128579.07
41,False,72,3318509.49,0.2213,0.9861,128579.07
42,False,72,3318509.49,0.2213,0.9861,128579.07
43,False,72,3303260.87,0.2204,0.9722,128355.22
44,False,72,3318509.49,0.2213,0.9861,128579.07
45,False,72,3256958.1,0.2175,1.0,127744.36
46,False,72,3318509.49,0.2213,0.9861,128579.07
47,False,72,3318509.49,0.2213,0.9861,128579.07
48,False,72,3318509.49,0.2213,0.9861,128579.07
49,False,72,3318509.49,0.2213,0.9861,128579.07
50,False,72,3318509.49,0.2213,0.9861,128579.07
51,False,72,3318509.49,0.2213,0.9861,128579.07
52,False,72,3318509.49,0.2213,0.9861,128579.07
53,False,72,3318509.49,0.2213,0.9861,128579.07
54,False,72,3318509.49,0.2213,0.9861,128579.07
55,False,72,3318509.49,0.2213,0.9861,128579.07
56,False,72,3303260.87,0.2204,0.9722,128355.22
57,False,72,3318509.49,0.2213,0.9861,128579.07
58,False,72,3268281.77,0.2182,0.9722,127645.84
59,False,72,3318509.49,0.2213,0.9861,128579.07
60,False,72,3318509.49,0.2213,0.9861,128579.07
61,False,72,3318509.49,0.2213,0.9861,128579.07
62,False,72,3318509.49,0.2213,0.9861,128579.07
63,False,72,3318509.49,0.2213,0.9861,128579.07
64,False,72,3318509.49,0.2213,0.9861,128579.07
65,False,72,3318509.49,0.2213,0.9861,128579.07
66,False,72,3318509.49,0.2213,0.9861,128579.07
67,False,72,3318509.49,0.2213,0.9861,128579.07
68,False,72,3318509.49,0.2213,0.9861,128579.07
69,False,72,3256958.1,0.2175,1.0,127744.36
70,False,72,3318509.49,0.2213,0.9861,128579.07
71,False,72,3318509.49,0.2213,0.9861,128579.07
72,False,72,3318509.49,0.2213,0.9861,128579.07
73,False,72,3318509.49,0.2213,0.9861,128579.07
74,False,72,3318509.49,0.2213,0.9861,128579.07
75,False,72,3318509.49,0.2213,0.9861,128579.07
76,False,72,3318509.49,0.2213,0.9861,128579.07
77,False,72,3318509.49,0.2213,0.9861,128579.07
78,False,72,3318509.49,0.2213,0.9861,128579.07
79,False,72,3318509.49,0.2213,0.9861,128579.07
80,False,72,3318509.49,0.2213,0.9861,128579.07
81,False,72,3403521.77,0.2265,0.9722,129780.58
82,False,72,3303260.87,0.2204,0.9722,128355.22
83,False,72,3318509.49,0.2213,0.9861,128579.07
84,False,72,3403521.77,0.2265,0.9722,129780.58
85,False,72,3318509.49,0.2213,0.9861,128579.07
86,False,72,3318509.49,0.2213,0.9861,128579.07
87,False,72,3318509.49,0.2213,0.9861,128579.07
88,False,72,3318509.49,0.2213,0.9861,128579.07
89,False,72,3304165.62,0.2204,0.9722,128336.6
90,False,72,3318509.49,0.2213,0.9861,128579.07
91,False,72,3318509.49,0.2213,0.9861,128579.07
92,False,72,3318509.49,0.2213,0.9861,128579.07
93,False,72,3318509.49,0.2213,0.9861,128579.07
94,False,72,3403521.77,0.2265,0.9722,129780.58
95,False,72,3256958.1,0.2175,1.0,127744.36
96,False,72,3318509.49,0.2213,0.9861,128579.07
97,False,72,3318509.49,0.2213,0.9861,128579.07
98,False,72,3318509.49,0.2213,0.9861,128579.07
99,False,72,3318509.49,0.2213,0.9861,128579.07
100,False,72,3318509.49,0.2213,0.9861,128579.07
101,False,72,3318509.49,0.2213,0.9861,128579.07
102,False,72,3318509.49,0.2213,0.9861,128579.07
103,False,72,3318509.49,0.2213,0.9861,128579.07
104,False,72,3318509.49,0.2213,0.9861,128579.07
105,False,72,3318509.49,0.2213,0.9861,128579.07
106,False,72,3318509.49,0.2213,0.9861,128579.07
107,False,72,3318509.49,0.2213,0.9861,128579.07
108,False,72,3318509.49,0.2213,0.9861,128579.07
109,False,72,3318509.49,0.2213,0.9861,128579.07
110,False,72,3318509.49,0.2213,0.9861,128579.07
111,False,72,3318509.49,0.2213,0.9861,128579.07
112,False,72,3403521.77,0.2265,0.9722,129780.58
113,False,72,3318509.49,0.2213,0.9861,128579.07
114,False,72,3403521.77,0.2265,0.9722,129780.58
115,False,72,3303260.87,0.2204,0.9722,128355.22
116,False,72,3318509.49,0.2213,0.9861,128579.07
117,False,72,3343904.11,0.2229,0.9861,128972.09
118,False,72,3318509.49,0.2213,0.9861,128579.07
119,False,72,3318509.49,0.2213,0.9861,128579.07
120,False,72,3403521.77,0.2265,0.9722,129780.58
121,False,72,3403521.77,0.2265,0.9722,129780.58
122,False,72,3318509.49,0.2213,0.9861,128579.07
123,False,72,3318509.49,0.2213,0.9861,128579.07
124,False,72,3318509.49,0.2213,0.9861,128579.07
125,False,72,3403521.77,0.2265,0.9722,129780.58
126,False,72,3318509.49,0.2213,0.9861,128579.07
127,False,72,3318509.49,0.2213,0.9861,128579.07
128,False,72,3318509.49,0.2213,0.9861,128579.07
129,False,72,3403521.77,0.2265,0.9722,129780.58
130,False,72,3318509.49,0.2213,0.9861,128579.07
131,False,72,3403521.77,0.2265,0.9722,129780.58
132,False,72,3318509.49,0.2213,0.9861,128579.07
133,False,72,3318509.49,0.2213,0.9861,128579.07
134,False,72,3318509.49,0.2213,0.9861,128579.07
135,False,72,3318509.49,0.2213,0.9861,128579.07
