cliente,abandona,meses_activos,valor_final,retorno_anual,frecuencia_rebalanceo,comision_total
0,False,72,941740.98,-0.01,0.4167,58259.02
1,False,72,941740.98,-0.01,0.4583,58259.02
2,False,72,941740.98,-0.01,0.4722,58259.02
3,False,72,941740.98,-0.01,0.4722,58259.02
4,False,72,941740.98,-0.01,0.5139,58259.02
5,False,72,941740.98,-0.01,0.4722,58259.02
6,False,72,941740.98,-0.01,0.4722,58259.02
7,False,72,941740.98,-0.01,0.4861,58259.02
8,False,72,941740.98,-0.01,0.4306,58259.02
9,False,72,941740.98,-0.01,0.5139,58259.02
10,False,72,941740.98,-0.01,0.4722,58259.02
11,False,72,941740.98,-0.01,0.4444,58259.02
12,False,72,941740.98,-0.01,0.5,58259.02
13,False,72,941740.98,-0.01,0.5417,58259.02
14,False,72,941740.98,-0.01,0.4444,58259.02
15,False,72,941740.98,-0.01,0.4722,58259.02
16,False,72,941740.98,-0.01,0.4583,58259.02
17,False,72,941740.98,-0.01,0.4583,58259.02
18,False,72,941740.98,-0.01,0.5139,58259.02
19,False,72,941740.98,-0.01,0.5278,58259.02
20,False,72,941740.98,-0.01,0.4444,58259.02
21,False,72,941740.98,-0.01,0.4583,58259.02
22,False,72,941740.98,-0.01,0.5278,58259.02
23,False,72,941740.98,-0.01,0.4028,58259.02
24,False,72,941740.98,-0.01,0.5278,58259.02
25,False,72,941740.98,-0.01,0.5556,58259.02
26,False,72,941740.98,-0.01,0.4444,58259.02
27,False,72,941740.98,-0.01,0.5139,58259.02
28,False,72,941740.98,-0.01,0.375,58259.02
29,False,72,941740.98,-0.01,0.5972,58259.02
30,False,72,941740.98,-0.01,0.5833,58259.02
31,False,72,941740.98,-0.01,0.5139,58259.02
32,False,72,941740.98,-0.01,0.4583,58259.02
33,False,72,941740.98,-0.01,0.5278,58259.02
34,False,72,941740.98,-0.01,0.5556,58259.02
35,False,72,941740.98,-0.01,0.4306,58259.02
36,False,72,941740.98,-0.01,0.5278,58259.02
37,False,72,941740.98,-0.01,0.5139,58259.02
38,False,72,941740.98,-0.01,0.4583,58259.02
39,False,72,941740.98,-0.01,0.5139,58259.02
40,False,72,941740.98,-0.01,0.5417,58259.02
41,False,72,941740.98,-0.01,0.4444,58259.02
42,False,72,941740.98,-0.01,0.5278,58259.02
43,False,72,941740.98,-0.01,0.5139,58259.02
44,False,72,941740.98,-0.01,0.5139,58259.02
45,False,72,941740.98,-0.01,0.5139,58259.02
46,False,72,941740.98,-0.01,0.4444,58259.02
47,False,72,941740.98,-0.01,0.4444,58259.02
48,False,72,941740.98,-0.01,0.4861,58259.02
49,False,72,941740.98,-0.01,0.5694,58259.02
50,False,72,941740.98,-0.01,0.5278,58259.02
51,False,72,941740.98,-0.01,0.5278,58259.02
52,False,72,941740.98,-0.01,0.3889,58259.02
53,False,72,941740.98,-0.01,0.5417,58259.02
54,False,72,941740.98,-0.01,0.5556,58259.02
55,False,72,941740.98,-0.01,0.5694,58259.02
56,False,72,941740.98,-0.01,0.5556,58259.02
57,False,72,941740.98,-0.01,0.4583,58259.02
58,False,72,941740.98,-0.01,0.5556,58259.02
59,False,72,941740.98,-0.01,0.5417,58259.02
60,False,72,941740.98,-0.01,0.4444,58259.02
61,False,72,941740.98,-0.01,0.4861,58259.02
62,False,72,941740.98,-0.01,0.5694,58259.02
63,False,72,941740.98,-0.01,0.4444,58259.02
64,False,72,941740.98,-0.01,0.5694,58259.02
65,False,72,941740.98,-0.01,0.4861,58259.02
66,False,72,941740.98,-0.01,0.5556,58259.02
