max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
0.05,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.05,2019,conservador,0.04185917739427872,0.1470060408610933,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
0.05,2019,neutro,0.9382269956577005,0.0,0.1666,0.0651,2.5591,0.025,12,False,11280.61,0.9167,0.0002
0.05,2019,arriesgado,0.9997674854583941,0.0,0.1694,0.1065,1.5913,0.0516,12,False,11935.58,1.0,0.0
0.05,2019,muy_arriesgado,0.882732106713131,0.0,0.213,0.1141,1.8671,0.0523,12,False,12534.77,0.8333,0.0002
0.05,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.05,2020,conservador,0.9997019803129688,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
0.05,2020,neutro,0.9999999985993524,0.3333103023310042,-0.6367,0.2753,-2.3122,0.2458,3,True,2295.92,1.0,0.0
0.05,2020,arriesgado,0.9190502279471963,0.0,0.2538,0.2761,0.9193,0.2338,12,False,10705.13,0.9167,0.0001
0.05,2020,muy_arriesgado,0.9180814032818564,0.0,0.4176,0.3056,1.3669,0.2346,12,False,11462.13,0.9167,0.0001
0.05,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.05,2021,conservador,0.883309124714499,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
0.05,2021,neutro,0.7500539790941386,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
0.05,2021,arriesgado,0.9999999999999997,0.0,0.2696,0.1447,1.8627,0.0722,12,False,11871.21,1.0,0.0
0.05,2021,muy_arriesgado,1.0,0.0,0.1878,0.1699,1.1052,0.1065,12,False,11579.85,1.0,0.0
0.05,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.05,2022,conservador,0.9998663811853665,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
0.05,2022,neutro,0.3461221464588984,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
0.05,2022,arriesgado,0.7676694290951591,0.0,0.0014,0.1492,0.0096,0.1422,12,False,9569.32,0.6667,0.0014
0.05,2022,muy_arriesgado,0.8484865983738197,0.0,-0.0028,0.1976,-0.0141,0.1653,12,False,9439.12,0.8333,0.0005
0.05,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
0.05,2023,conservador,1.6763291673128164e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
