perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,train_years,max_weight
arriesgado,72,0.037985,0.048174,0.019386,0.6806,1.0,235.58,-0.1191,5,0.025
conservador,72,0.045102,0.058029,-0.009603,0.5417,1.0,295.0,-0.1139,5,0.025
muy_arriesgado,72,0.044693,0.056873,0.024765,0.6667,1.0,223.1,-0.1135,5,0.025
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,5,0.025
neutro,72,0.041567,0.056455,-0.005165,0.5972,1.0,287.24,-0.1593,5,0.025
arriesgado,72,0.04173,0.051372,0.023347,0.5833,1.0,222.71,-0.0654,5,0.05
conservador,72,0.045102,0.058029,-0.009603,0.5417,1.0,295.0,-0.1139,5,0.05
muy_arriesgado,72,0.049924,0.062352,0.030125,0.6111,1.0,199.57,-0.0991,5,0.05
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,5,0.05
neutro,72,0.042135,0.056784,-0.00454,0.5694,1.0,282.06,-0.171,5,0.05
arriesgado,72,0.045077,0.055626,0.024707,0.5833,1.0,164.67,-0.0569,5,0.1
conservador,72,0.045102,0.058029,-0.009603,0.5417,1.0,295.0,-0.1139,5,0.1
muy_arriesgado,72,0.056387,0.068053,0.033081,0.5833,1.0,169.74,-0.0118,5,0.1
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,5,0.1
neutro,72,0.042248,0.056831,-0.004468,0.5694,1.0,270.82,-0.1724,5,0.1
arriesgado,72,0.046187,0.057501,0.024208,0.6528,1.0,158.85,-0.0671,5,0.15
conservador,72,0.045102,0.058029,-0.009603,0.5417,1.0,295.0,-0.1139,5,0.15
muy_arriesgado,72,0.058806,0.071905,0.034378,0.5833,1.0,142.97,-0.0025,5,0.15
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,5,0.15
neutro,72,0.042301,0.056915,-0.004448,0.5694,1.0,264.31,-0.173,5,0.15
arriesgado,72,0.047482,0.059145,0.026476,0.625,1.0,123.76,-0.0759,5,0.2
conservador,72,0.045102,0.058029,-0.009603,0.5417,1.0,295.0,-0.1139,5,0.2
muy_arriesgado,72,0.061216,0.07483,0.034465,0.5556,1.0,122.9,-0.0116,5,0.2
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,5,0.2
neutro,72,0.042304,0.056911,-0.004451,0.5694,1.0,264.94,-0.173,5,0.2
