train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.01,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.01,2019,neutro,0.025489542817771983,0.0,0.1738,0.058,2.9957,0.0217,12,False,11514.09,0.0,0.0207
5,0.01,2019,arriesgado,0.5288051096924594,0.0,0.2253,0.084,2.6823,0.0322,12,False,12132.99,0.5,0.0021
5,0.01,2019,muy_arriesgado,0.09119877505951002,0.0,0.2516,0.0849,2.9646,0.0321,12,False,12159.94,0.0833,0.0101
5,0.01,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.01,2020,neutro,0.6849671557953702,0.3333295926343301,-0.639,0.256,-2.4961,0.264,3,True,2240.59,0.6667,0.0007
5,0.01,2020,arriesgado,0.5049307996931578,0.0,0.1915,0.2911,0.6579,0.2654,12,False,10146.07,0.4167,0.0022
5,0.01,2020,muy_arriesgado,0.5139526345678387,0.0,0.2314,0.2997,0.7723,0.2654,12,False,10209.63,0.4167,0.0016
5,0.01,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.01,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.01,2021,arriesgado,0.9993956280936446,0.0,0.2817,0.1037,2.7164,0.0445,12,False,11822.35,1.0,0.0
5,0.01,2021,muy_arriesgado,0.9999912433127554,0.0,0.2872,0.1014,2.8318,0.0538,12,False,11811.84,1.0,0.0
5,0.01,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.01,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.01,2022,arriesgado,0.414850794428014,0.0,-0.0317,0.1587,-0.1995,0.137,12,False,9334.12,0.4167,0.0055
5,0.01,2022,muy_arriesgado,0.3976952583993134,0.0,-0.0328,0.2179,-0.1503,0.1619,12,False,9221.17,0.4167,0.0051
5,0.01,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.01,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.01,2023,arriesgado,1.6919984175089113e-06,0.0,0.0464,0.1037,0.4474,0.0562,12,False,10047.98,0.0,0.0149
5,0.01,2023,muy_arriesgado,0.051041716832472765,0.0,0.0751,0.1167,0.6434,0.0591,12,False,10195.68,0.0,0.0153
5,0.01,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.01,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
5,0.01,2024,arriesgado,0.43544004809812814,0.0,0.2197,0.0988,2.2238,0.0323,12,False,11504.88,0.5,0.002
5,0.01,2024,muy_arriesgado,0.8601141528977613,0.0,0.1932,0.1139,1.6968,0.041,12,False,11518.13,0.9167,0.0001
5,0.01,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.01,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.01,2025,neutro,0.3497708844834911,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.25,0.003
5,0.01,2025,arriesgado,0.9965473298678195,0.0,0.2006,0.0794,2.5262,0.0369,12,False,11182.16,1.0,0.0
5,0.01,2025,muy_arriesgado,0.8399667409214927,0.0,0.1816,0.0966,1.8799,0.0703,12,False,11051.92,0.9167,0.0001
