train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
5,0.025,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.025,2019,neutro,0.8537876000376462,0.0,0.1682,0.0575,2.9253,0.0169,12,False,11282.9,0.9167,0.0002
5,0.025,2019,arriesgado,0.8529752415080564,0.0,0.2287,0.0912,2.5071,0.0324,12,False,12318.6,0.8333,0.0003
5,0.025,2019,muy_arriesgado,0.7762871652630631,0.0,0.206,0.0902,2.2832,0.0324,12,False,12335.84,0.75,0.0005
5,0.025,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.025,2020,neutro,0.9999997619369626,0.3333184740927347,-0.6459,0.2953,-2.1876,0.2502,3,True,2299.07,1.0,0.0
5,0.025,2020,arriesgado,0.8945295611985595,0.0,0.2499,0.2756,0.9069,0.2417,12,False,10735.33,0.9167,0.0002
5,0.025,2020,muy_arriesgado,0.8621191215572134,0.0,0.3721,0.2988,1.2455,0.2396,12,False,11200.97,0.8333,0.0005
5,0.025,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.025,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
5,0.025,2021,arriesgado,0.9999999999997328,0.0,0.2089,0.1151,1.8142,0.0712,12,False,11582.75,1.0,0.0
5,0.025,2021,muy_arriesgado,1.0,0.0,0.1821,0.1286,1.4158,0.0755,12,False,11284.25,1.0,0.0
5,0.025,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2022,conservador,0.9998689328290615,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
5,0.025,2022,neutro,0.3465730701183875,0.16777688142615063,-0.2095,0.1998,-1.0483,0.1897,9,True,6896.32,0.3333,0.0057
5,0.025,2022,arriesgado,0.5995626119633154,0.0,-0.031,0.1577,-0.1966,0.1441,12,False,9222.95,0.5833,0.0029
5,0.025,2022,muy_arriesgado,0.6449459132599017,0.0,-0.002,0.2281,-0.0086,0.1659,12,False,9409.23,0.5833,0.0036
5,0.025,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2023,conservador,1.663844059266629e-05,0.15512030922994266,-0.1139,0.0534,-2.1352,0.0624,5,True,4480.53,0.0,0.0062
5,0.025,2023,neutro,0.0029980086250607552,0.0,0.1368,0.1557,0.8783,0.0702,12,False,11242.98,0.0,0.0131
5,0.025,2023,arriesgado,0.2304010187319588,0.0,0.0638,0.1165,0.5475,0.0559,12,False,9951.29,0.25,0.0047
5,0.025,2023,muy_arriesgado,0.5003573463900376,0.0,0.0956,0.1367,0.6998,0.0645,12,False,10101.97,0.5,0.0039
5,0.025,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2024,conservador,0.9845048832388247,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
5,0.025,2024,neutro,0.6565371442553921,0.0,0.2166,0.1187,1.8253,0.0428,12,False,11280.69,0.6667,0.001
5,0.025,2024,arriesgado,0.9216251192732172,0.0,0.2623,0.0893,2.9376,0.0283,12,False,11851.91,0.9167,0.0001
5,0.025,2024,muy_arriesgado,0.999994043937265,0.0,0.2323,0.1021,2.2748,0.039,12,False,11838.82,1.0,0.0
5,0.025,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.025,2025,conservador,0.9930838593297314,0.0,0.2179,0.0754,2.89,0.0324,12,False,11366.0,1.0,0.0
5,0.025,2025,neutro,0.3497708844834911,0.0,0.2046,0.078,2.6247,0.0318,12,False,11355.98,0.25,0.003
5,0.025,2025,arriesgado,0.9999999999746859,0.0,0.1317,0.0969,1.3592,0.0884,12,False,10749.35,1.0,0.0
5,0.025,2025,muy_arriesgado,0.9999998741366078,0.0,0.1747,0.128,1.3648,0.1035,12,False,10998.53,1.0,0.0
5,0.05,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2019,conservador,0.06207489067219729,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
5,0.05,2019,neutro,0.9391572575704089,0.0,0.1773,0.0624,2.843,0.0226,12,False,11365.07,0.9167,0.0002
5,0.05,2019,arriesgado,0.9991726940494655,0.0,0.1631,0.1036,1.5745,0.0574,12,False,11962.81,1.0,0.0
5,0.05,2019,muy_arriesgado,0.8652270878623091,0.0,0.1999,0.1104,1.8105,0.056,12,False,12474.78,0.8333,0.0002
5,0.05,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2020,conservador,0.9996966415559967,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
5,0.05,2020,neutro,0.9999999696536781,0.3333103508382288,-0.6388,0.2842,-2.2475,0.2458,3,True,2293.47,1.0,0.0
5,0.05,2020,arriesgado,0.9211163739676226,0.0,0.2486,0.2741,0.9069,0.2366,12,False,10692.09,0.9167,0.0002
5,0.05,2020,muy_arriesgado,0.9180516860012785,0.0,0.4009,0.3039,1.3193,0.2352,12,False,11422.94,0.9167,0.0002
5,0.05,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
5,0.05,2021,conservador,0.8815518758274185,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
5,0.05,2021,neutro,0.7500524269049723,0.0,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
