perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,modelo,use_bl,bl_method,conf_base,lookback,skip,train_years,max_weight
arriesgado,72,0.034086,0.041873,0.004074,0.6389,1.0,276.32,0.0592,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01
conservador,72,0.043254,0.054739,-0.004259,0.5972,1.0,295.0,0.0595,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01
muy_arriesgado,72,0.040528,0.04964,0.007572,0.6111,1.0,267.76,0.0656,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01
neutro,72,0.041757,0.053499,-0.003807,0.5972,1.0,293.89,0.0673,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.01
arriesgado,72,0.036529,0.044441,0.008324,0.6389,1.0,265.82,0.0723,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025
conservador,72,0.043254,0.054739,-0.004259,0.5972,1.0,295.0,0.0595,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025
muy_arriesgado,72,0.044241,0.054107,0.012744,0.6528,1.0,247.94,0.0378,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025
neutro,72,0.039722,0.052892,-0.002493,0.625,1.0,288.4,0.0746,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.025
arriesgado,72,0.038501,0.04673,0.00931,0.5833,1.0,230.26,0.0528,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05
conservador,72,0.043254,0.054739,-0.004259,0.5972,1.0,295.0,0.0595,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05
muy_arriesgado,72,0.048531,0.058661,0.013598,0.6389,1.0,229.03,0.0137,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05
neutro,72,0.039702,0.052983,-0.002401,0.625,1.0,284.97,0.0689,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.05
arriesgado,72,0.037601,0.046919,0.009187,0.6111,1.0,217.24,0.0594,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1
conservador,72,0.043254,0.054739,-0.004259,0.5972,1.0,295.0,0.0595,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1
muy_arriesgado,72,0.048166,0.059062,0.013897,0.6389,1.0,197.49,0.0092,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1
neutro,72,0.03967,0.05291,-0.002371,0.625,1.0,282.62,0.0689,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.1
arriesgado,72,0.038714,0.047669,0.009803,0.5833,1.0,202.89,0.0309,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.15
conservador,72,0.043254,0.054739,-0.004259,0.5972,1.0,295.0,0.0595,hybrid_bl,True,robust_factor_hybrid,1.0,126,21,5,0.15
