max_weight,perfil,retorno_promedio,retorno_mediano,drawdown_promedio,abandono_promedio,aceptacion_promedio,caja_promedio,meses_activos_promedio
0.1,arriesgado,0.1095375,0.12539999999999998,0.1088875,0.0,0.920638997142687,0.0006,10.875
0.1,conservador,-0.0212375,-0.0506,0.0620125,0.625,0.7352220371810033,0.0014125000000000001,5.5
0.1,muy_arriesgado,0.12885,0.1543,0.1276375,0.0,0.9833194370307785,2.5e-05,10.875
0.1,muy_conservador,-0.0087875,-0.0091,0.0,0.0,0.5,1.0,10.875
0.1,neutro,0.0354,0.11825,0.085075,0.25,0.7176758698296049,0.0025875,9.375
0.15,arriesgado,0.1052,0.1563,0.1122,0.0,0.9143143328784881,0.0003625,10.875
0.15,conservador,-0.0212375,-0.0506,0.0620125,0.625,0.7352220371810033,0.0014125000000000001,5.5
0.15,muy_arriesgado,0.11785000000000001,0.12075,0.1422125,0.0,0.9878972841741818,1.25e-05,10.875
0.15,muy_conservador,-0.0087875,-0.0091,0.0,0.0,0.5,1.0,10.875
0.15,neutro,0.036025,0.11835000000000001,0.085025,0.25,0.7176571059877607,0.0025875,9.375
0.2,arriesgado,0.098275,0.14485,0.11563749999999999,0.0,0.9253910496112663,0.0002875,10.875
0.2,conservador,-0.0212375,-0.0506,0.0620125,0.625,0.7352220371810033,0.0014125000000000001,5.5
0.2,muy_arriesgado,0.0986125,0.1117,0.1517,0.0,0.989619520802755,1.25e-05,10.875
0.2,muy_conservador,-0.0087875,-0.0091,0.0,0.0,0.5,1.0,10.875
0.2,neutro,0.03597500000000001,0.1183,0.08505,0.25,0.7176814332765372,0.0025875,9.375
