caso,anio,periodo_inicio,periodo_fin,perfil,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
lambda_calibrado,2019,2019-01-01,2019-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_calibrado,2019,2019-01-01,2019-12-31,conservador,0.095,0.1571,0.6044,0.0602,5,True,4802.7,0.2,0.0051
lambda_calibrado,2019,2019-01-01,2019-12-31,neutro,0.1617,0.067,2.4125,0.0248,12,False,11223.77,0.9167,0.0002
lambda_calibrado,2019,2019-01-01,2019-12-31,arriesgado,0.2348,0.1537,1.528,0.0992,12,False,12211.16,1.0,0.0
lambda_calibrado,2019,2019-01-01,2019-12-31,muy_arriesgado,0.2217,0.1769,1.2536,0.1334,12,False,12420.41,1.0,0.0
lambda_calibrado,2020,2020-01-01,2020-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_calibrado,2020,2020-01-01,2020-12-31,conservador,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
lambda_calibrado,2020,2020-01-01,2020-12-31,neutro,-0.6377,0.2615,-2.4388,0.245,3,True,2300.8,1.0,0.0
lambda_calibrado,2020,2020-01-01,2020-12-31,arriesgado,0.238,0.2645,0.9,0.217,12,False,10404.53,1.0,0.0
lambda_calibrado,2020,2020-01-01,2020-12-31,muy_arriesgado,0.3823,0.313,1.2215,0.2164,12,False,11133.96,1.0,0.0
lambda_calibrado,2021,2021-01-01,2021-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
lambda_calibrado,2021,2021-01-01,2021-12-31,conservador,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
lambda_calibrado,2021,2021-01-01,2021-12-31,neutro,0.371,0.1274,2.9115,0.0642,12,False,12790.93,0.75,0.0009
lambda_calibrado,2021,2021-01-01,2021-12-31,arriesgado,0.2542,0.1807,1.4065,0.0961,12,False,11810.46,1.0,0.0
lambda_calibrado,2021,2021-01-01,2021-12-31,muy_arriesgado,0.1698,0.2427,0.6993,0.1598,12,False,11585.9,1.0,0.0
lambda_calibrado,2022,2022-01-01,2022-12-31,muy_conservador,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
