config_id,bl_method,conf_base,lookback,skip,train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2019,conservador,0.09664691909604654,0.14517182284858615,0.1002,0.158,0.6341,0.0597,5,True,4785.46,0.2,0.0051
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2019,neutro,0.5610302793416768,0.0,0.1589,0.0519,3.0613,0.0223,12,False,11320.73,0.5,0.0032
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2019,arriesgado,0.4467678532579314,0.0,0.1678,0.0678,2.4748,0.0327,12,False,11812.61,0.4167,0.0049
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2019,muy_arriesgado,0.2795101670198805,0.0,0.2481,0.0774,3.2078,0.0472,12,False,11940.28,0.25,0.0047
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2020,conservador,0.9999906396431575,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2020,neutro,0.9320327205198473,0.3333249922442232,-0.6513,0.3228,-2.0179,0.256,3,True,2287.83,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2020,arriesgado,0.5758766443001595,0.0,0.3533,0.2937,1.2031,0.2467,12,False,10880.23,0.5833,0.0014
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2020,muy_arriesgado,0.5226260875667741,0.0,0.4685,0.2812,1.6661,0.2294,12,False,11462.69,0.5,0.0022
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2021,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2021,conservador,0.9999999999981808,0.5812485591598301,0.0,,0.0,0.0533,1,True,867.65,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2021,neutro,0.9847034118698859,0.0,0.3929,0.1288,3.0511,0.0533,12,False,12953.57,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2021,arriesgado,0.9340182748556036,0.0,0.2675,0.1377,1.9428,0.0543,12,False,11899.68,0.9167,0.0001
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2021,muy_arriesgado,0.9217506612410046,0.0,0.3341,0.1636,2.0426,0.0596,12,False,12375.15,0.9167,0.0001
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2022,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2022,conservador,0.9548337675020444,0.37846424952014,-0.1468,0.183,-0.802,0.0866,4,True,3211.61,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2022,neutro,0.15429634339465237,0.1743640794824803,-0.2133,0.2029,-1.0514,0.1934,9,True,6895.05,0.2222,0.0037
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2022,arriesgado,0.23103432108877628,0.0,-0.0883,0.1649,-0.5357,0.2101,12,False,8653.08,0.25,0.0068
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2022,muy_arriesgado,0.2415014228026542,0.0,-0.1189,0.2309,-0.5151,0.2944,12,False,8039.36,0.25,0.0063
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2023,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2023,conservador,0.9447027005611609,0.15174804667146896,-0.1118,0.0595,-1.8788,0.0615,5,True,4485.53,0.8,0.0003
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2023,neutro,0.402356412227784,0.0,0.1395,0.1638,0.8519,0.0809,12,False,11217.16,0.3333,0.0025
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2023,arriesgado,0.023322648626784487,0.0,0.1142,0.1017,1.1227,0.0372,12,False,10473.7,0.0,0.0096
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2023,muy_arriesgado,0.1408024883616947,0.0,0.2034,0.1594,1.276,0.0781,12,False,10710.81,0.1667,0.0017
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2024,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2024,conservador,0.9999990208681103,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2024,neutro,0.9804910759796165,0.0,0.2144,0.1184,1.8104,0.0428,12,False,11263.83,1.0,0.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2024,arriesgado,0.4863148939690036,0.0,0.2636,0.0881,2.9908,0.0271,12,False,11719.31,0.3333,0.0037
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2024,muy_arriesgado,0.5239534290682756,0.0,0.2667,0.1058,2.521,0.0367,12,False,11989.97,0.4167,0.0016
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2025,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2025,conservador,0.9062539650872409,0.0,0.217,0.0753,2.8829,0.0324,12,False,11362.18,0.9167,0.0001
hybrid_50F_50A|conf=1|lb=126|skip=21,robust_factor_hybrid_50,1.0,126,21,5,0.025,2025,neutro,0.6267276152266511,0.0,0.2266,0.0745,3.0428,0.0324,12,False,11389.62,0.6667,0.0011
