config_id,bl_method,conf_base,lookback,skip,train_years,max_weight,anio,perfil,prob_aceptacion_prom,prob_abandono_prom,retorno_anual,volatilidad_anual,sharpe,max_drawdown,meses_activos,abandono,comision_total,frecuencia_rebalanceo,caja_chica_promedio
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2019,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2019,conservador,0.5514084389814717,0.12949993085045888,0.1053,0.1553,0.6779,0.0561,5,True,4787.43,0.6,0.0013
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2019,neutro,0.2430690811646269,0.0,0.1494,0.0501,2.9848,0.0171,12,False,11167.3,0.1667,0.0076
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2019,arriesgado,0.2606206785095298,0.0,0.1894,0.1128,1.6786,0.0529,12,False,12285.98,0.25,0.0052
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2019,muy_arriesgado,0.14633436241705897,0.0,0.2231,0.1272,1.7542,0.0617,12,False,12471.89,0.1667,0.0051
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2020,muy_conservador,0.5,0.0,-0.0091,0.0,0.0,0.0,12,False,9954.29,0.3333,1.0
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2020,conservador,0.9998907120700694,0.49908947578195384,-0.3353,,0.0,0.1131,2,True,1599.56,1.0,0.0
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2020,neutro,0.17769623005335108,0.3333165703109388,-0.6362,0.3328,-1.9117,0.249,3,True,2309.85,0.0,0.0059
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2020,arriesgado,0.43009378568732576,0.0,0.3488,0.251,1.3896,0.2044,12,False,10895.29,0.4167,0.0024
robust_factor_balanced|conf=1|lb=126|skip=21,robust_factor_balanced,1.0,126,21,5,0.025,2020,muy_arriesgado,0.3929904852961286,0.0,0.5314,0.2811,1.8904,0.2057,12,False,11874.27,0.3333,0.0017
