"train_years","max_weight","anio","perfil","retorno_anual","max_drawdown","abandono","meses_activos"
"5","0.025","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2019","conservador","0.1002","0.0597","True","5"
"5","0.025","2019","neutro","0.1682","0.0169","False","12"
"5","0.025","2019","arriesgado","0.2287","0.0324","False","12"
"5","0.025","2019","muy_arriesgado","0.206","0.0324","False","12"
"5","0.025","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2023","conservador","-0.1139","0.0624","True","5"
"5","0.025","2023","neutro","0.1368","0.0702","False","12"
"5","0.025","2023","arriesgado","0.0638","0.0559","False","12"
"5","0.025","2023","muy_arriesgado","0.0956","0.0645","False","12"
"5","0.025","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2024","conservador","0.2144","0.0428","False","12"
"5","0.025","2024","neutro","0.2166","0.0428","False","12"
"5","0.025","2024","arriesgado","0.2623","0.0283","False","12"
"5","0.025","2024","muy_arriesgado","0.2323","0.039","False","12"
"5","0.025","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2025","conservador","0.2179","0.0324","False","12"
"5","0.025","2025","neutro","0.2046","0.0318","False","12"
"5","0.025","2025","arriesgado","0.1317","0.0884","False","12"
"5","0.025","2025","muy_arriesgado","0.1747","0.1035","False","12"
"5","0.05","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2019","conservador","0.1002","0.0597","True","5"
"5","0.05","2019","neutro","0.1773","0.0226","False","12"
"5","0.05","2019","arriesgado","0.1631","0.0574","False","12"
"5","0.05","2019","muy_arriesgado","0.1999","0.056","False","12"
"5","0.05","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2023","conservador","-0.1139","0.0624","True","5"
"5","0.05","2023","neutro","0.1368","0.0702","False","12"
"5","0.05","2023","arriesgado","0.0924","0.053","False","12"
"5","0.05","2023","muy_arriesgado","0.1238","0.0574","False","12"
"5","0.05","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2024","conservador","0.2144","0.0428","False","12"
"5","0.05","2024","neutro","0.2166","0.0428","False","12"
"5","0.05","2024","arriesgado","0.2755","0.0313","False","12"
"5","0.05","2024","muy_arriesgado","0.2837","0.0398","False","12"
"5","0.05","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2025","conservador","0.2179","0.0324","False","12"
"5","0.05","2025","neutro","0.2046","0.0318","False","12"
"5","0.05","2025","arriesgado","0.0449","0.1055","False","12"
"5","0.05","2025","muy_arriesgado","0.0171","0.1361","False","12"
"5","0.1","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2019","conservador","0.1002","0.0597","True","5"
"5","0.1","2019","neutro","0.1685","0.0225","False","12"
"5","0.1","2019","arriesgado","0.2386","0.0859","False","12"
"5","0.1","2019","muy_arriesgado","0.2055","0.1002","False","12"
"5","0.1","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2023","conservador","-0.1139","0.0624","True","5"
"5","0.1","2023","neutro","0.1368","0.0702","False","12"
"5","0.1","2023","arriesgado","0.0547","0.0482","False","12"
"5","0.1","2023","muy_arriesgado","0.0791","0.0592","False","12"
"5","0.1","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2024","conservador","0.2144","0.0428","False","12"
"5","0.1","2024","neutro","0.2166","0.0428","False","12"
"5","0.1","2024","arriesgado","0.2661","0.0311","False","12"
"5","0.1","2024","muy_arriesgado","0.283","0.0484","False","12"
"5","0.1","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2025","conservador","0.2179","0.0324","False","12"
"5","0.1","2025","neutro","0.2046","0.0318","False","12"
"5","0.1","2025","arriesgado","-0.0067","0.1274","False","12"
"5","0.1","2025","muy_arriesgado","-0.062","0.1952","False","12"
"5","0.01","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2019","conservador","0.1002","0.0597","True","5"
"5","0.01","2019","neutro","0.1738","0.0217","False","12"
"5","0.01","2019","arriesgado","0.2253","0.0322","False","12"
"5","0.01","2019","muy_arriesgado","0.2516","0.0321","False","12"
"5","0.01","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2023","conservador","-0.1139","0.0624","True","5"
"5","0.01","2023","neutro","0.1368","0.0702","False","12"
"5","0.01","2023","arriesgado","0.0464","0.0562","False","12"
"5","0.01","2023","muy_arriesgado","0.0751","0.0591","False","12"
"5","0.01","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2024","conservador","0.2144","0.0428","False","12"
"5","0.01","2024","neutro","0.2166","0.0428","False","12"
"5","0.01","2024","arriesgado","0.2197","0.0323","False","12"
"5","0.01","2024","muy_arriesgado","0.1932","0.041","False","12"
"5","0.01","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2025","conservador","0.2179","0.0324","False","12"
"5","0.01","2025","neutro","0.2046","0.0318","False","12"
"5","0.01","2025","arriesgado","0.2006","0.0369","False","12"
"5","0.01","2025","muy_arriesgado","0.1816","0.0703","False","12"
