"train_years","max_weight","anio","perfil","retorno_anual","max_drawdown","abandono","meses_activos"
"5","0.025","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2020","conservador","-0.3353","0.1131","True","2"
"5","0.025","2020","neutro","-0.6459","0.2502","True","3"
"5","0.025","2020","arriesgado","0.2499","0.2417","False","12"
"5","0.025","2020","muy_arriesgado","0.3721","0.2396","False","12"
"5","0.025","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2021","conservador","0.0","0.0533","True","1"
"5","0.025","2021","neutro","0.371","0.0642","False","12"
"5","0.025","2021","arriesgado","0.2089","0.0712","False","12"
"5","0.025","2021","muy_arriesgado","0.1821","0.0755","False","12"
"5","0.025","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.025","2022","conservador","-0.1468","0.0866","True","4"
"5","0.025","2022","neutro","-0.2095","0.1897","True","9"
"5","0.025","2022","arriesgado","-0.031","0.1441","False","12"
"5","0.025","2022","muy_arriesgado","-0.002","0.1659","False","12"
"5","0.05","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2020","conservador","-0.3353","0.1131","True","2"
"5","0.05","2020","neutro","-0.6388","0.2458","True","3"
"5","0.05","2020","arriesgado","0.2486","0.2366","False","12"
"5","0.05","2020","muy_arriesgado","0.4009","0.2352","False","12"
"5","0.05","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2021","conservador","0.0","0.0533","True","1"
"5","0.05","2021","neutro","0.371","0.0642","False","12"
"5","0.05","2021","arriesgado","0.2466","0.0754","False","12"
"5","0.05","2021","muy_arriesgado","0.1666","0.111","False","12"
"5","0.05","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2022","conservador","-0.1468","0.0866","True","4"
"5","0.05","2022","neutro","-0.2095","0.1897","True","9"
"5","0.05","2022","arriesgado","-0.0051","0.1437","False","12"
"5","0.05","2022","muy_arriesgado","0.0056","0.1661","False","12"
"5","0.1","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2020","conservador","-0.3353","0.1131","True","2"
"5","0.1","2020","neutro","-0.6424","0.2468","True","3"
"5","0.1","2020","arriesgado","0.2498","0.2265","False","12"
"5","0.1","2020","muy_arriesgado","0.4369","0.2053","False","12"
"5","0.1","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2021","conservador","0.0","0.0533","True","1"
"5","0.1","2021","neutro","0.371","0.0642","False","12"
"5","0.1","2021","arriesgado","0.2214","0.1007","False","12"
"5","0.1","2021","muy_arriesgado","0.1749","0.158","False","12"
"5","0.1","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2022","conservador","-0.1468","0.0866","True","4"
"5","0.1","2022","neutro","-0.2095","0.1897","True","9"
"5","0.1","2022","arriesgado","0.0091","0.138","False","12"
"5","0.1","2022","muy_arriesgado","-0.03","0.1885","False","12"
"5","0.01","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2020","conservador","-0.3353","0.1131","True","2"
"5","0.01","2020","neutro","-0.639","0.264","True","3"
"5","0.01","2020","arriesgado","0.1915","0.2654","False","12"
"5","0.01","2020","muy_arriesgado","0.2314","0.2654","False","12"
"5","0.01","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2021","conservador","0.0","0.0533","True","1"
"5","0.01","2021","neutro","0.371","0.0642","False","12"
"5","0.01","2021","arriesgado","0.2817","0.0445","False","12"
"5","0.01","2021","muy_arriesgado","0.2872","0.0538","False","12"
"5","0.01","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2022","conservador","-0.1468","0.0866","True","4"
"5","0.01","2022","neutro","-0.2095","0.1897","True","9"
"5","0.01","2022","arriesgado","-0.0317","0.137","False","12"
"5","0.01","2022","muy_arriesgado","-0.0328","0.1619","False","12"
