"train_years","max_weight","anio","perfil","retorno_anual","max_drawdown","abandono","meses_activos"
"5","0.01","2019","arriesgado","0.2253","0.0322","False","12"
"5","0.01","2019","conservador","0.1002","0.0597","True","5"
"5","0.01","2019","muy_arriesgado","0.2516","0.0321","False","12"
"5","0.01","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2019","neutro","0.1738","0.0217","False","12"
"5","0.01","2020","arriesgado","0.1915","0.2654","False","12"
"5","0.01","2020","conservador","-0.3353","0.1131","True","2"
"5","0.01","2020","muy_arriesgado","0.2314","0.2654","False","12"
"5","0.01","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2020","neutro","-0.639","0.264","True","3"
"5","0.01","2021","arriesgado","0.2817","0.0445","False","12"
"5","0.01","2021","conservador","0.0","0.0533","True","1"
"5","0.01","2021","muy_arriesgado","0.2872","0.0538","False","12"
"5","0.01","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2021","neutro","0.371","0.0642","False","12"
"5","0.01","2022","arriesgado","-0.0317","0.137","False","12"
"5","0.01","2022","conservador","-0.1468","0.0866","True","4"
"5","0.01","2022","muy_arriesgado","-0.0328","0.1619","False","12"
"5","0.01","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2022","neutro","-0.2095","0.1897","True","9"
"5","0.01","2023","arriesgado","0.0464","0.0562","False","12"
"5","0.01","2023","conservador","-0.1139","0.0624","True","5"
"5","0.01","2023","muy_arriesgado","0.0751","0.0591","False","12"
"5","0.01","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2023","neutro","0.1368","0.0702","False","12"
"5","0.01","2024","arriesgado","0.2197","0.0323","False","12"
"5","0.01","2024","conservador","0.2144","0.0428","False","12"
"5","0.01","2024","muy_arriesgado","0.1932","0.041","False","12"
"5","0.01","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2024","neutro","0.2166","0.0428","False","12"
"5","0.01","2025","arriesgado","0.2006","0.0369","False","12"
"5","0.01","2025","conservador","0.2179","0.0324","False","12"
"5","0.01","2025","muy_arriesgado","0.1816","0.0703","False","12"
"5","0.01","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.01","2025","neutro","0.2046","0.0318","False","12"
"5","0.05","2019","arriesgado","0.1631","0.0574","False","12"
"5","0.05","2019","conservador","0.1002","0.0597","True","5"
"5","0.05","2019","muy_arriesgado","0.1999","0.056","False","12"
"5","0.05","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2019","neutro","0.1773","0.0226","False","12"
"5","0.05","2020","arriesgado","0.2486","0.2366","False","12"
"5","0.05","2020","conservador","-0.3353","0.1131","True","2"
"5","0.05","2020","muy_arriesgado","0.4009","0.2352","False","12"
"5","0.05","2020","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2020","neutro","-0.6388","0.2458","True","3"
"5","0.05","2021","arriesgado","0.2466","0.0754","False","12"
"5","0.05","2021","conservador","0.0","0.0533","True","1"
"5","0.05","2021","muy_arriesgado","0.1666","0.111","False","12"
"5","0.05","2021","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2021","neutro","0.371","0.0642","False","12"
"5","0.05","2022","arriesgado","-0.0051","0.1437","False","12"
"5","0.05","2022","conservador","-0.1468","0.0866","True","4"
"5","0.05","2022","muy_arriesgado","0.0056","0.1661","False","12"
"5","0.05","2022","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2022","neutro","-0.2095","0.1897","True","9"
"5","0.05","2023","arriesgado","0.0924","0.053","False","12"
"5","0.05","2023","conservador","-0.1139","0.0624","True","5"
"5","0.05","2023","muy_arriesgado","0.1238","0.0574","False","12"
"5","0.05","2023","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2023","neutro","0.1368","0.0702","False","12"
"5","0.05","2024","arriesgado","0.2755","0.0313","False","12"
"5","0.05","2024","conservador","0.2144","0.0428","False","12"
"5","0.05","2024","muy_arriesgado","0.2837","0.0398","False","12"
"5","0.05","2024","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2024","neutro","0.2166","0.0428","False","12"
"5","0.05","2025","arriesgado","0.0449","0.1055","False","12"
"5","0.05","2025","conservador","0.2179","0.0324","False","12"
"5","0.05","2025","muy_arriesgado","0.0171","0.1361","False","12"
"5","0.05","2025","muy_conservador","-0.0091","0.0","False","12"
"5","0.05","2025","neutro","0.2046","0.0318","False","12"
"5","0.1","2019","arriesgado","0.2386","0.0859","False","12"
"5","0.1","2019","conservador","0.1002","0.0597","True","5"
"5","0.1","2019","muy_arriesgado","0.2055","0.1002","False","12"
"5","0.1","2019","muy_conservador","-0.0091","0.0","False","12"
"5","0.1","2019","neutro","0.1685","0.0225","False","12"
