perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,train_years
arriesgado,84,0.049881,0.06264,0.031377,0.6071,1.0,155.43,-0.3001,2
conservador,84,0.041591,0.055008,-0.009733,0.5714,1.0,300.0,-0.1101,2
muy_arriesgado,84,0.06054,0.074465,0.037997,0.5714,1.0,143.54,-0.2061,2
muy_conservador,84,0.0,0.0,0.0,1.0,0.0,0.0,,2
neutro,84,0.03542,0.049135,0.005783,0.5476,1.0,210.42,-0.1216,2
arriesgado,84,0.049273,0.061062,0.031604,0.5714,1.0,130.36,-0.1273,3
conservador,84,0.041595,0.055011,-0.009735,0.5714,1.0,300.0,-0.1102,3
muy_arriesgado,84,0.060889,0.074137,0.040115,0.5476,1.0,156.4,-0.069,3
muy_conservador,84,0.0,0.0,0.0,1.0,0.0,0.0,,3
neutro,84,0.037953,0.052573,-0.000281,0.5952,1.0,230.62,-0.1722,3
arriesgado,84,0.048696,0.061207,0.030403,0.5595,1.0,140.2,-0.1028,4
conservador,84,0.041602,0.055016,-0.009748,0.5595,1.0,300.0,-0.1103,4
muy_arriesgado,84,0.060843,0.075157,0.039185,0.5357,1.0,159.96,-0.0618,4
muy_conservador,84,0.0,0.0,0.0,1.0,0.0,0.0,,4
neutro,84,0.038726,0.053535,-0.0023,0.6071,1.0,239.93,-0.1845,4
arriesgado,84,0.045785,0.057518,0.026768,0.6429,1.0,157.75,-0.0799,5
conservador,84,0.041388,0.05449,-0.009059,0.5833,1.0,295.0,-0.1136,5
muy_arriesgado,84,0.058539,0.071663,0.037208,0.5714,1.0,145.65,-0.0017,5
muy_conservador,84,0.0,0.0,0.0,1.0,0.0,0.0,,5
neutro,84,0.039092,0.053483,-0.004657,0.6071,1.0,265.69,-0.1728,5
arriesgado,84,0.047436,0.05891,0.028999,0.5833,1.0,138.62,-0.0754,6
conservador,84,0.041266,0.054329,-0.008698,0.6071,1.0,290.0,-0.106,6
muy_arriesgado,84,0.05837,0.072086,0.03729,0.5476,1.0,164.8,0.01,6
muy_conservador,84,0.0,0.0,0.0,1.0,0.0,0.0,,6
neutro,84,0.039089,0.053528,-0.004068,0.619,1.0,265.99,-0.1693,6
