perfil,observaciones,mae,rmse,bias,hit_rate_signo,peso_acciones_promedio,n_activos_promedio,corr_pred_real,lambda
arriesgado,72,0.048756,0.060068,0.028293,0.6111,0.8526,132.5,-0.0596,0.0
conservador,72,0.008537,0.011529,0.005065,0.6528,0.1621,152.1,-0.1266,0.0
muy_arriesgado,72,0.060348,0.072762,0.035097,0.5278,0.9618,168.14,-0.0196,0.0
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,0.0
neutro,72,0.025633,0.034598,0.015209,0.6528,0.4857,123.12,-0.1252,0.0
arriesgado,72,0.048967,0.060371,0.02852,0.6389,0.8548,234.62,0.0259,1.0
conservador,72,0.008548,0.011546,0.005059,0.6528,0.1621,235.86,-0.1272,1.0
muy_arriesgado,72,0.060374,0.07276,0.034945,0.5278,0.9619,253.75,-0.0204,1.0
muy_conservador,72,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
neutro,72,0.025626,0.034595,0.015176,0.625,0.4861,222.82,-0.1245,1.0
