fecha,mae,rmse,bias,hit_rate_signo,n_activos
2019-01-01,0.109171,0.142424,-0.096292,0.5767,300
2019-02-01,0.066542,0.115038,-0.053965,0.4467,300
2019-03-01,0.05352,0.102445,-0.019837,0.5733,300
2019-04-01,0.068052,0.100652,-0.035202,0.4967,300
2019-05-01,0.08303,0.111111,0.058698,0.4667,300
2019-06-01,0.077983,0.120351,-0.06603,0.6767,300
2019-07-01,0.051711,0.094603,-0.011674,0.5167,300
2019-08-01,0.06444,0.102335,0.02128,0.61,300
2019-09-01,0.056861,0.079808,-0.021844,0.4733,300
2019-10-01,0.055884,0.074669,-0.015346,0.4333,300
2019-11-01,0.060399,0.081955,-0.030499,0.43,300
2019-12-01,0.046554,0.080075,-0.020056,0.65,300
2020-01-01,0.063951,0.085351,0.019648,0.56,300
2020-02-01,0.111715,0.145423,0.086269,0.11,300
2020-03-01,0.203993,0.245376,0.197394,0.2333,300
2020-04-01,0.144924,0.23993,-0.125208,0.6633,300
2020-05-01,0.097545,0.259685,-0.080398,0.4433,300
2020-06-01,0.085887,0.211994,-0.04637,0.4967,300
2020-07-01,0.075215,0.109169,-0.036016,0.6633,300
2020-08-01,0.088835,0.150715,-0.061648,0.4767,300
2020-09-01,0.063593,0.094761,0.02961,0.5433,300
2020-10-01,0.070042,0.092127,0.012153,0.42,300
2020-11-01,0.166645,0.216827,-0.155911,0.5267,300
2020-12-01,0.078845,0.139137,-0.058092,0.4433,300
2021-01-01,0.110361,0.515512,-0.033982,0.4167,300
2021-02-01,0.121008,0.277524,-0.080242,0.4767,300
2021-03-01,0.091989,0.201869,-0.062196,0.5533,300
2021-04-01,0.059372,0.082551,-0.020872,0.6467,300
2021-05-01,0.05515,0.09472,0.014862,0.6633,300
2021-06-01,0.067331,0.098722,0.026253,0.4633,300
2021-07-01,0.067579,0.113959,0.014,0.5933,300
2021-08-01,0.065081,0.192303,0.00304,0.6533,300
2021-09-01,0.082073,0.111407,0.06949,0.2867,300
2021-10-01,0.066581,0.08797,-0.029949,0.7633,300
2021-11-01,0.082621,0.110986,0.053732,0.3567,300
2021-12-01,0.073511,0.109493,-0.011384,0.7767,300
2022-01-01,0.09472,0.126198,0.045612,0.3867,300
2022-02-01,0.064739,0.086033,0.034868,0.42,300
2022-03-01,0.064909,0.088054,-0.017313,0.63,300
2022-04-01,0.09014,0.113344,0.081457,0.34,300
2022-05-01,0.071708,0.107573,-0.00728,0.52,300
2022-06-01,0.102838,0.134757,0.093093,0.48,300
2022-07-01,0.093396,0.120507,-0.068924,0.5,300
2022-08-01,0.052149,0.074751,0.015878,0.62,300
2022-09-01,0.092444,0.110713,0.085115,0.58,300
2022-10-01,0.112386,0.137301,-0.096691,0.4133,300
2022-11-01,0.095281,0.119836,-0.078122,0.3433,300
2022-12-01,0.060323,0.093326,0.036749,0.61,300
2023-01-01,0.134658,0.28395,-0.111316,0.34,300
2023-02-01,0.05096,0.067843,0.013277,0.51,300
2023-03-01,0.070025,0.09831,0.001637,0.5633,300
2023-04-01,0.054276,0.080486,-0.009994,0.53,300
2023-05-01,0.069139,0.091665,0.013419,0.5467,300
2023-06-01,0.086354,0.13466,-0.074168,0.51,300
2023-07-01,0.070571,0.123391,-0.049148,0.3967,300
2023-08-01,0.064869,0.121997,0.026562,0.51,300
2023-09-01,0.055863,0.071776,0.043124,0.4133,300
2023-10-01,0.067525,0.090328,0.034879,0.4267,300
2023-11-01,0.095972,0.123018,-0.081976,0.65,300
2023-12-01,0.092832,0.236295,-0.072165,0.5,300
2024-01-01,0.054823,0.078668,0.002991,0.6133,300
2024-02-01,0.053422,0.071572,-0.01773,0.7267,300
2024-03-01,0.058113,0.080177,-0.029119,0.6167,300
2024-04-01,0.071848,0.094859,0.047278,0.3567,300
2024-05-01,0.05851,0.101951,-0.01968,0.6733,300
2024-06-01,0.054285,0.113404,-6.9e-05,0.5433,300
2024-07-01,0.069435,0.092214,-0.024087,0.6367,300
2024-08-01,0.058452,0.08593,-0.009737,0.66,300
2024-09-01,0.046017,0.068427,-0.007072,0.6067,300
2024-10-01,0.057608,0.078387,0.019639,0.4667,300
2024-11-01,0.080638,0.151731,-0.052216,0.7233,300
2024-12-01,0.096539,0.125016,0.070074,0.1967,300
